State,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20
Georgia,-2.318750815,-1.708755775,-0.922931668,-0.107470408,0.589975682,1.051451238,1.225236963,1.139085399,0.885045089,0.584027318,0.330649632,0.169626484,0.111525912,0.156576958,0.300008185,0.546804569,0.900993366,1.341090553,1.807019768,2.223534347,2.525919238,2.673743321,2.670166252,2.585508113,2.513537059,2.51840265,2.609726386,2.7279291,2.752128907,2.535616191,1.941297383,0.860911184,-0.772998459,-2.981966981,-5.735150311,-8.947956203,-12.49039464,-16.20047797,-19.91469968,-23.49099738,-26.8190908,-29.82315685,-32.45951397,-34.71012297,-36.57623176,-38.08447477,-39.28821815,-40.25991937,-41.07921988,-41.82197585,-42.54919708,-43.29884272,-44.08730302,-44.90851224,-45.73565343,-46.52466314,-47.22181865,-47.7758443,-48.14808528,-48.31993823,-48.29172278,-48.07599556,-47.69009428,-47.15523292,-46.49751702,-45.74998758,-44.96111153,-44.18171076,-43.44991019,-42.7844381,-42.18536621,-41.63377546,-41.09477296,-40.53194261,-39.90520167,-39.17746415,-38.32889099,-37.36495814,-36.30277134,-35.16208503,-33.97255355,-32.77155504,-31.60128281,-30.50749063,-29.53297639,-28.7074048,-28.03602766,-27.50462791,-27.08917328,-26.76370514,-26.50657293,-26.30365604,-26.14197026,-25.99471595,-25.83321701,-25.64089228,-25.41403728,-25.16040646,-24.90018088,-24.66213264,-24.47410094,-24.36258981,-24.34894122,-24.43681561,-24.60370522,-24.79813791,-24.94788526,-24.96354229,-24.76600754,-24.32308497,-23.65466546,-22.82863149,-21.94021833,-21.07554699,-20.28877419,-19.60627877,-19.04023695,-18.59516713,-18.26930041,-18.05620016,-17.93948716,-17.8794834,-17.82791816,-17.74766253,-17.61992684,-17.44186774,-17.22147971,-16.97150621,-16.69505749,-16.39210443,-16.0738267,-15.76548032,-15.50143533,-15.31580853,-15.22751792,-15.22126893,-15.2609456,-15.31654176,-15.39102649,-15.52627386,-15.7851708,-16.2099806,-16.78988853,-17.46898581,-18.17099911,-18.80702389,-19.27748987,-19.49793699,-19.43639678,-19.11766402,-18.59612267,-17.955562,-17.29356417,-16.69341822,-16.21215199,-15.87724583,-15.68437268,-15.61096658
Hawaii,-0.907646107,-0.672326122,-0.398437619,-0.132171319,0.083216916,0.214476598,0.248418564,0.203834688,0.130556521,0.103148621,0.177552953,0.327890426,0.494728221,0.621704566,0.670168261,0.627654756,0.496484409,0.291314649,0.040932558,-0.22038094,-0.462138998,-0.66371334,-0.813775303,-0.90409761,-0.929834482,-0.890066275,-0.796515076,-0.684783914,-0.61172735,-0.650449567,-0.886147229,-1.41111525,-2.321115655,-3.704994987,-5.630555786,-8.12749381,-11.17286208,-14.68938186,-18.55399882,-22.62222831,-26.75504836,-30.83495916,-34.76865676,-38.48143663,-41.90850855,-44.98846395,-47.66254626,-49.88595975,-51.63947504,-52.937746,-53.82849051,-54.38665543,-54.70344395,-54.86912813,-54.96004212,-55.03219428,-55.11988131,-55.23711013,-55.38345097,-55.54768063,-55.70690061,-55.82920168,-55.88005254,-55.82970992,-55.66165477,-55.37873196,-55.0063967,-54.58307187,-54.14941313,-53.73929217,-53.37525348,-53.06663592,-52.81126002,-52.59704716,-52.39957322,-52.19026559,-51.94766855,-51.66337094,-51.34178139,-51.00074545,-50.67147926,-50.39099701,-50.19276242,-50.09736141,-50.10535777,-50.19696631,-50.33714496,-50.4805946,-50.57563213,-50.57210716,-50.43042836,-50.12524654,-49.64465445,-48.99134194,-48.18444173,-47.25804415,-46.25465721,-45.21741367,-44.18691643,-43.20023302,-42.29044366,-41.48481231,-40.80178698,-40.25171735,-39.83699079,-39.54881678,-39.36019219,-39.22397691,-39.08699133,-38.91130472,-38.6736788,-38.36228942,-37.97408268,-37.5136964,-36.9962329,-36.44986218,-35.91480589,-35.43728975,-35.05659857,-34.79841433,-34.66846149,-34.64938521,-34.70415,-34.78054231,-34.82076081,-34.77529998,-34.61564959,-34.33436047,-33.94225149,-33.46839666,-32.95375174,-32.44087758,-31.96647492,-31.55943001,-31.2352706,-30.99073097,-30.80860389,-30.66864081,-30.55993074,-30.49053268,-30.48554426,-30.57294926,-30.77244166,-31.08624766,-31.4861829,-31.91463645,-32.29780608,-32.56717869,-32.6873655,-32.66221515,-32.52029049,-32.30284751,-32.05344124,-31.80567229,-31.57876018,-31.38228278,-31.21916595,-31.08606278
Idaho,-3.70199384,-2.926985575,-2.122194461,-1.354016847,-0.665609793,-0.07483987,0.423702244,0.852482537,1.239544025,1.610644532,1.979897571,2.337140558,2.662264435,2.937353088,3.151323037,3.299680407,3.380252993,3.394761376,3.346870572,3.24086504,3.08442166,2.89127455,2.683028401,2.492519904,2.348200205,2.256421482,2.194968668,2.11473923,1.94755437,1.614408519,1.038373853,0.158694111,-1.063663441,-2.642351201,-4.566407354,-6.802880001,-9.301888666,-12.00412473,-14.84410831,-17.75517518,-20.6791597,-23.57121997,-26.39862056,-29.13698189,-31.76247899,-34.2466776,-36.55702525,-38.65903945,-40.51979282,-42.11322023,-43.42346322,-44.44523576,-45.18401574,-45.65461926,-45.87912313,-45.88516841,-45.70532274,-45.37578755,-44.93346377,-44.41243897,-43.83968645,-43.23206733,-42.59638731,-41.93237287,-41.23679209,-40.50857956,-39.75401938,-38.98578708,-38.22093908,-37.47870897,-36.77828485,-36.13488248,-35.55346958,-35.02265241,-34.51178659,-33.98187314,-33.39789208,-32.73689977,-31.98962611,-31.1581055,-30.25429592,-29.2998241,-28.32410242,-27.36223883,-26.45243245,-25.62902814,-24.9142977,-24.31531195,-23.82585708,-23.43166397,-23.1156172,-22.85761518,-22.63275643,-22.40686366,-22.13817783,-21.78759249,-21.3282588,-20.75097517,-20.06792591,-19.30767259,-18.50141531,-17.67466385,-16.84790859,-16.03919877,-15.26544002,-14.53858753,-13.86194529,-13.22230931,-12.59478139,-11.96696962,-11.34432591,-10.74830868,-10.21286721,-9.775842894,-9.46164387,-9.272648141,-9.19553045,-9.206445184,-9.273758091,-9.368721463,-9.470722493,-9.5591172,-9.608522516,-9.594256891,-9.497159485,-9.303216598,-9.00292128,-8.593229508,-8.073321727,-7.445828726,-6.731132347,-5.974418165,-5.239106832,-4.594179136,-4.098501368,-3.77792362,-3.619291861,-3.588320917,-3.646662293,-3.762046661,-3.915287234,-4.100648419,-4.310334249,-4.525573283,-4.724240076,-4.883119009,-4.976424439,-4.980235264,-4.888977348,-4.714928854,-4.466368182,-4.147538728,-3.765740717,-3.335214493,-2.882027341,-2.443790267,,
Illinois,-0.87725348,-0.542128221,-0.156049127,0.237764178,0.610721571,0.93894656,1.20957405,1.438059388,1.662593351,1.940802992,2.305456672,2.693603818,3.004940263,3.154571347,3.097184026,2.860762769,2.555367188,2.327284849,2.276818115,2.409575147,2.644726699,2.86554212,2.989117224,3.034061488,3.067807001,3.126855186,3.189513515,3.178030497,2.96955352,2.422609258,1.418810372,-0.13314911,-2.322400777,-5.221003718,-8.86208099,-13.21372099,-18.15524976,-23.47908389,-28.92187513,-34.21602011,-39.13479818,-43.5160738,-47.25973062,-50.31380406,-52.66653064,-54.35388799,-55.45465899,-56.07562714,-56.33290208,-56.33750694,-56.18159589,-55.93013329,-55.62808696,-55.3083111,-54.99623158,-54.71196854,-54.47430314,-54.30099234,-54.2015491,-54.17109941,-54.19294606,-54.2393959,-54.27378855,-54.25584653,-54.14529246,-53.90529324,-53.51907548,-52.99588386,-52.37048779,-51.69786481,-51.04409217,-50.47100395,-50.01047728,-49.65681878,-49.37318523,-49.10610491,-48.80335367,-48.42569045,-47.9477043,-47.35510259,-46.6494021,-45.86009212,-45.0456495,-44.28305744,-43.6480542,-43.19385118,-42.9311811,-42.83202954,-42.85608639,-42.96988484,-43.14969309,-43.38022376,-43.64083537,-43.88258265,-44.0424688,-44.06763519,-43.9216116,-43.5883225,-43.0807656,-42.43335025,-41.69163605,-40.91520379,-40.16834664,-39.50690159,-38.96284448,-38.53215882,-38.17403638,-37.8041151,-37.32265243,-36.67350444,-35.85395554,-34.90663348,-33.89979988,-32.88648047,-31.87703333,-30.85850713,-29.83588331,-28.84546196,-27.94831222,-27.21362492,-26.68364341,-26.3339999,-26.08750474,-25.86316222,-25.61211257,-25.32364155,-25.01865041,-24.73275985,-24.47695415,-24.23200273,-23.97782835,-23.70586595,-23.42425855,-23.15460121,-22.91301548,-22.67613851,-22.39702265,-22.05849708,-21.68553515,-21.33328046,-21.07329183,-20.96905869,-21.02765265,-21.20331208,-21.4435512,-21.69266451,-21.87412177,-21.91989349,-21.80808898,-21.55116871,-21.15288863,-20.63697524,-20.05121495,-19.43843936,-18.82762449,-18.24315279,-17.70295727,
Indiana,-2.754333379,-2.127517744,-1.287476889,-0.318421061,0.704872008,1.715830819,2.657208118,3.487391547,4.180214602,4.730996663,5.136822109,5.370547642,5.401287024,5.222235091,4.86377575,4.404930299,3.967918137,3.676189934,3.600197097,3.737918927,4.017141562,4.329496755,4.589345046,4.78615136,4.94079975,5.05269535,5.085434587,4.967634691,4.600474445,3.875499589,2.709828954,1.056481812,-1.109080436,-3.791699836,-6.972906749,-10.60498558,-14.60551102,-18.86114977,-23.23689862,-27.5916468,-31.80005738,-35.7660983,-39.42296465,-42.72480899,-45.6386915,-48.14285555,-50.22009086,-51.85837336,-53.05653016,-53.82682416,-54.19727404,-54.21125277,-53.9263727,-53.41023227,-52.73668352,-51.98332652,-51.22985994,-50.55036301,-49.99631992,-49.58959231,-49.32270858,-49.16178307,-49.05318097,-48.93559819,-48.75245792,-48.46039937,-48.04051204,-47.49565798,-46.84450535,-46.11715487,-45.3522763,-44.592027,-43.86848842,-43.19534214,-42.56288094,-41.94411361,-41.30742645,-40.62908024,-39.89456049,-39.09842369,-38.24743345,-37.36043131,-36.46721637,-35.60623433,-34.81814734,-34.13585817,-33.5746288,-33.13062797,-32.78380326,-32.50624221,-32.2677951,-32.04135561,-31.80356242,-31.52568938,-31.18045538,-30.74957094,-30.22347606,-29.60199691,-28.90055138,-28.14892351,-27.3834051,-26.64583203,-25.97563367,-25.39871546,-24.9182402,-24.50874858,-24.12168441,-23.68790162,-23.14004523,-22.44951186,-21.62728842,-20.71842516,-19.78957048,-18.90209461,-18.09257908,-17.37538129,-16.7565147,-16.2391276,-15.82570338,-15.51875349,-15.31277877,-15.17767886,-15.06386037,-14.92302337,-14.72589513,-14.46495576,-14.15003658,-13.80249725,-13.43714263,-13.05669478,-12.66312337,-12.26356247,-11.87298395,-11.5151043,-11.21573028,-10.98506522,-10.82402736,-10.74051138,-10.74542882,-10.84716315,-11.05200682,-11.36795181,-11.77962288,-12.22804062,-12.64829695,-12.9788603,-13.14807748,-13.10666858,-12.86634442,-12.48793759,-12.03222512,-11.56756333,-11.1654541,-10.86960403,-10.69015827,-10.6221588,-10.64842681,
Iowa,0.03592415,0.009266426,0.079777719,0.225289311,0.42223706,0.644515589,0.868948246,1.082778717,1.284862917,1.48684447,1.698191206,1.905670309,2.082722052,2.206491637,2.270279049,2.299116579,2.341134251,2.449569614,2.650055157,2.928635771,3.24964842,3.568014553,3.857187365,4.129831296,4.41169353,4.705418962,4.976106759,5.154570398,5.147120292,4.857516021,4.203603868,3.120949665,1.553726726,-0.536360376,-3.156979389,-6.274370495,-9.801588331,-13.60379569,-17.51151034,-21.34516637,-24.9424073,-28.1774371,-30.97069627,-33.28704095,-35.12878223,-36.52879553,-37.54097662,-38.23151991,-38.67108434,-38.92913326,-39.06918474,-39.14584435,-39.20343109,-39.27488007,-39.38241222,-39.53763433,-39.74448567,-40.0017449,-40.30128421,-40.627108,-40.95460147,-41.24761398,-41.45951334,-41.54048275,-41.44446803,-41.13965512,-40.62109785,-39.90776738,-39.03653243,-38.05514515,-37.01651963,-35.97063199,-34.95486613,-33.98913941,-33.07602555,-32.20698943,-31.3697947,-30.5549247,-29.75664882,-28.97350836,-28.21246225,-27.4918636,-26.83990971,-26.28749222,-25.85850343,-25.5624147,-25.38870129,-25.30689795,-25.2821342,-25.28676076,-25.3004268,-25.30951785,-25.29732869,-25.23537258,-25.0905555,-24.83830616,-24.46950476,-23.99351369,-23.43931874,-22.84894661,-22.26996976,-21.74804431,-21.31705442,-20.98935663,-20.74718798,-20.54099283,-20.30001776,-19.94316467,-19.40056418,-18.6453198,-17.69913961,-16.62253504,-15.49389034,-14.37740723,-13.31510945,-12.33339892,-11.45639658,-10.70874002,-10.1085877,-9.662788467,-9.35717643,-9.149580803,-8.981400502,-8.802757762,-8.591583963,-8.352565141,-8.110544857,-7.896651351,-7.724529401,-7.581610111,-7.443228315,-7.286347216,-7.097121496,-6.872891754,-6.617297673,-6.328563692,-6.00274061,-5.656102035,-5.333050308,-5.094948544,-5.005756669,-5.108495322,-5.401719987,-5.836712189,-6.345595162,-6.852137505,-7.269198378,-7.520741533,-7.568091239,-7.409298165,-7.055571969,-6.539012293,-5.910850659,-5.228365621,-4.546229767,-3.907376783,-3.33795191,
Kansas,-1.03886942,-0.780105366,-0.433989191,-0.033766685,0.399166169,0.845004792,1.280184706,1.677030615,2.004205205,2.242704075,2.396660525,2.474731621,2.493858225,2.487450855,2.497874035,2.586781441,2.814848527,3.21584938,3.767331218,4.391764513,4.993188908,5.486386793,5.836230284,6.063940738,6.20850241,6.284538365,6.270359266,6.111028886,5.727085467,5.03617165,3.970738678,2.486808594,0.556149039,-1.824912046,-4.622981316,-7.767436448,-11.15506308,-14.66389468,-18.1671826,-21.55093999,-24.72595661,-27.63131279,-30.23455787,-32.52565011,-34.51135217,-36.21166217,-37.65610714,-38.88114296,-39.92461362,-40.82151201,-41.59986198,-42.2763969,-42.85595617,-43.33696667,-43.71501421,-43.98658685,-44.15564033,-44.23636991,-44.25082296,-44.22362344,-44.17524803,-44.11269825,-44.02486139,-43.88719816,-43.66749635,-43.3361485,-42.88159758,-42.31084412,-41.64407307,-40.90826011,-40.13322963,-39.34364373,-38.55091417,-37.75205745,-36.93528895,-36.08671518,-35.19920385,-34.27719241,-33.33536545,-32.39258573,-31.46977214,-30.59255598,-29.79009335,-29.0907682,-28.51879635,-28.08915615,-27.80010067,-27.63292823,-27.56479266,-27.56890267,-27.61366287,-27.66267854,-27.66511777,-27.55338914,-27.25682329,-26.7284617,-25.96031315,-24.98753556,-23.88379023,-22.74672896,-21.67878881,-20.76689691,-20.07005345,-19.60447643,-19.33399795,-19.1790557,-19.03218223,-18.77318508,-18.30163448,-17.58537267,-16.66152616,-15.61869545,-14.56427757,-13.57276041,-12.681078,-11.90039751,-11.23671695,-10.69859861,-10.29357625,-10.02736743,-9.894434655,-9.867989673,-9.903310673,-9.961518074,-10.02287153,-10.08259378,-10.14723435,-10.22208024,-10.29496612,-10.33378214,-10.30730434,-10.19852239,-10.00809856,-9.754174433,-9.460434186,-9.138640675,-8.793245014,-8.445532031,-8.136353356,-7.919752096,-7.857064231,-7.996561184,-8.349092571,-8.87702398,-9.514049824,-10.17757755,-10.77282742,-11.21000327,-11.43464554,-11.43943282,-11.24143944,-10.87834922,-10.4015622,-9.866357349,-9.327462218,-8.829373661,-8.397199008,
Kentucky,-5.100975174,-4.062183863,-2.785812812,-1.425034251,-0.129296558,0.985861901,1.851442839,2.44574452,2.791239045,2.953059472,2.997558202,2.955534725,2.830627723,2.629623589,2.378394627,2.136076538,1.988143138,2.001308736,2.183077969,2.50083417,2.897054508,3.290401954,3.613147449,3.866042735,4.077459651,4.247327523,4.338473007,4.276311548,3.954029891,3.252031891,2.081196112,0.398574582,-1.801680207,-4.490940886,-7.610470669,-11.08068366,-14.79848042,-18.63922099,-22.46793656,-26.15075602,-29.56904627,-32.63242031,-35.28472345,-37.50294814,-39.29455165,-40.69466449,-41.75569746,-42.53777972,-43.09454713,-43.46578164,-43.6778717,-43.7455184,-43.68460223,-43.52486848,-43.31476111,-43.1135576,-42.9742044,-42.93252269,-43.00100627,-43.16809202,-43.39979478,-43.64332923,-43.83543677,-43.91618397,-43.84140761,-43.5906427,-43.17741937,-42.64185512,-42.03753734,-41.4210111,-40.84567257,-40.35419933,-39.96561846,-39.66893862,-39.41808941,-39.14540901,-38.78452311,-38.29126723,-37.64646456,-36.85661192,-35.95785732,-35.0073636,-34.07233441,-33.21941355,-32.50217142,-31.94920837,-31.55764967,-31.29905098,-31.12948273,-31.00725679,-30.90230611,-30.79849727,-30.69054726,-30.5638186,-30.39527175,-30.16272153,-29.84557378,-29.42910949,-28.90965959,-28.29911364,-27.62119157,-26.90920703,-26.20584516,-25.55027863,-24.96196106,-24.43454779,-23.93725692,-23.41277592,-22.79984223,-22.07032071,-21.23432893,-20.33696975,-19.44565814,-18.62368694,-17.90306225,-17.28486437,-16.75995107,-16.321432,-15.96765812,-15.70493229,-15.53774556,-15.44713803,-15.39514687,-15.34513936,-15.27452536,-15.17526453,-15.05304643,-14.92008155,-14.77409534,-14.59911125,-14.38353172,-14.12913889,-13.85468826,-13.5954729,-13.3900272,-13.25549094,-13.19451824,-13.20983155,-13.29566929,-13.43605088,-13.61557629,-13.82441505,-14.03843416,-14.21362658,-14.3163998,-14.32617533,-14.21626699,-13.97420684,-13.62909844,-13.23445427,-12.82635079,-12.44247977,-12.12544429,-11.89760873,-11.76121805,-11.71318978,-11.74040665,
Louisiana,-3.272559229,-2.60577206,-1.801764113,-0.941012673,-0.091214495,0.700841551,1.405285473,2.001733228,2.486178279,2.888585021,3.246354648,3.57056845,3.839937906,4.012772052,4.039070613,3.905012737,3.665048736,3.421831001,3.250567521,3.165565181,3.152695165,3.181094814,3.219617134,3.2732049,3.368127146,3.523778957,3.730157333,3.931627512,4.034571959,3.92006797,3.465724255,2.567936499,1.144475766,-0.858800931,-3.454516752,-6.608176026,-10.23686815,-14.21045772,-18.35563674,-22.47577429,-26.3869197,-29.94036479,-33.0352588,-35.62537445,-37.7134676,-39.33853492,-40.5618348,-41.45490475,-42.08883834,-42.5292427,-42.83570034,-43.05897837,-43.239066,-43.40338103,-43.56478935,-43.72196623,-43.86534653,-43.98290698,-44.06331436,-44.09406868,-44.05767992,-43.93143685,-43.68954544,-43.31368443,-42.80521712,-42.18767533,-41.50689461,-40.8137733,-40.14664198,-39.52400599,-38.94790757,-38.41107035,-37.90274614,-37.41079908,-36.91335465,-36.38234832,-35.79404059,-35.134474,-34.39599585,-33.57762048,-32.69004685,-31.75585417,-30.81005133,-29.89649619,-29.06162209,-28.35087678,-27.79932203,-27.42123989,-27.20648744,-27.12482526,-27.13233638,-27.18020053,-27.2217886,-27.20590495,-27.08032081,-26.80088734,-26.33556484,-25.67335607,-24.84241362,-23.91529666,-22.9991202,-22.2120781,-21.64482388,-21.33074758,-21.23586139,-21.26972511,-21.31936015,-21.27383085,-21.05068463,-20.6273761,-20.03919755,-19.36456323,-18.70611723,-18.16362397,-17.81090657,-17.68457073,-17.77835349,-18.037285,-18.35932286,-18.62079506,-18.70800729,-18.54034247,-18.10252159,-17.44500736,-16.65742754,-15.84351768,-15.09785915,-14.49418308,-14.07778954,-13.86897428,-13.86984518,-14.06385215,-14.414342,-14.86742905,-15.3567881,-15.80724328,-16.15810653,-16.38295863,-16.48693806,-16.50370717,-16.48958314,-16.51309468,-16.63045605,-16.86643978,-17.21072544,-17.61105319,-17.96677482,-18.16864867,-18.15111294,-17.91450429,-17.51429947,-17.04876275,-16.63002269,-16.33582568,-16.1951844,-16.20622735,-16.34743167,-16.588476
Maine,-9.898675414,-8.365452362,-6.445721492,-4.398225685,-2.476810684,-0.86863111,0.321635322,1.068773695,1.416749689,1.476110177,1.40379073,1.329497203,1.310339132,1.35131468,1.418879345,1.450826147,1.401641379,1.290566003,1.175505081,1.127491412,1.201785351,1.383680238,1.627345673,1.908344878,2.217460368,2.534929552,2.820208956,3.003148715,2.986388829,2.652849844,1.889513181,0.619310674,-1.200292515,-3.580642218,-6.493816495,-9.868711973,-13.59892735,-17.54392589,-21.53731172,-25.41429815,-29.03774831,-32.31087739,-35.18295772,-37.64719106,-39.73009576,-41.47867437,-42.9514425,-44.21112671,-45.31580797,-46.31251156,-47.23398912,-48.09479181,-48.89340288,-49.61721582,-50.24560657,-50.75565719,-51.13151844,-51.36769557,-51.46672912,-51.43463669,-51.27603472,-50.99083792,-50.57540036,-50.02982521,-49.36314661,-48.59371338,-47.75279392,-46.87817708,-46.00526178,-45.16504543,-44.38474812,-43.68710288,-43.08588735,-42.57682362,-42.13581345,-41.72783136,-41.31476864,-40.86214369,-40.34379188,-39.74216537,-39.05165571,-38.2843784,-37.46997711,-36.65186778,-35.88326764,-35.21764675,-34.68952488,-34.30220792,-34.02854134,-33.8153815,-33.59725668,-33.30977044,-32.90174344,-32.34161877,-31.61413189,-30.72422332,-29.69965102,-28.58644005,-27.446417,-26.3567722,-25.3984684,-24.63952348,-24.12649837,-23.87173138,-23.8438459,-23.97353016,-24.17510001,-24.35067099,-24.39811478,-24.24362769,-23.85107904,-23.22674467,-22.41545241,-21.48451923,-20.50451221,-19.53460965,-18.6249426,-17.81916083,-17.15182735,-16.64089413,-16.28279052,-16.04116745,-15.84530077,-15.61659433,-15.29232596,-14.83614968,-14.24420821,-13.54445155,-12.77962954,-11.99063885,-11.22353868,-10.53617274,-9.992905504,-9.65352391,-9.5646794,-9.732230032,-10.1109204,-10.63562708,-11.2464631,-11.89521092,-12.54125393,-13.14509771,-13.64861462,-13.97398494,-14.06710262,-13.90987826,-13.50608852,-12.89018312,-12.14570963,-11.3823704,-10.68009145,-10.0955164,-9.670015511,-9.431487144,-9.391422288,-9.550872921,-9.886940645,-10.35005868
Maryland,-2.892549277,-2.266189779,-1.593608446,-0.96196761,-0.441349145,-0.069579448,0.154037732,0.271112408,0.351587004,0.477401668,0.692929398,0.946834274,1.162589252,1.28313317,1.275870144,1.136821297,0.895153221,0.603766978,0.310070693,0.046388156,-0.16727457,-0.326885064,-0.430321634,-0.455156643,-0.386291129,-0.241531089,-0.076230133,0.019857954,-0.07471369,-0.506125712,-1.421375443,-2.945267774,-5.164632374,-8.109993028,-11.7392274,-15.93172445,-20.50220145,-25.22527957,-29.87486229,-34.25980583,-38.24830125,-41.77024744,-44.8017252,-47.34766139,-49.42734357,-51.07468453,-52.34386209,-53.30959047,-54.06081874,-54.68275678,-55.24009124,-55.76825964,-56.27244921,-56.73779935,-57.15127765,-57.5091734,-57.81669736,-58.08370294,-58.31569406,-58.51054495,-58.66150781,-58.76002478,-58.79662324,-58.76466747,-58.65980312,-58.47436353,-58.209604,-57.88238125,-57.51653044,-57.13761388,-56.77121031,-56.43627399,-56.13561407,-55.85860053,-55.59350512,-55.33087749,-55.06427498,-54.79483706,-54.52757202,-54.26007568,-53.99026597,-53.72321411,-53.46923698,-53.24248168,-53.06325443,-52.93993772,-52.8505899,-52.752871,-52.60094358,-52.36236461,-52.03089267,-51.61963032,-51.14870448,-50.63143319,-50.07394791,-49.48942774,-48.90057403,-48.33489099,-47.82138242,-47.38197488,-47.02026958,-46.72303817,-46.46849944,-46.23036333,-45.98058765,-45.69237635,-45.34044427,-44.88632256,-44.29083893,-43.54571187,-42.67464419,-41.72950637,-40.77949768,-39.88441159,-39.07145773,-38.33833383,-37.67518622,-37.07816008,-36.5563091,-36.13254594,-35.82947163,-35.63889207,-35.52340936,-35.44263287,-35.36728093,-35.28448897,-35.19801349,-35.11312453,-35.01235986,-34.85726912,-34.61057239,-34.25151682,-33.78775365,-33.25300025,-32.69145081,-32.1282619,-31.56666888,-31.01679589,-30.50740677,-30.08390757,-29.80417806,-29.71613393,-29.81869491,-30.05512004,-30.35311687,-30.63989163,-30.84048851,-30.89862253,-30.7990667,-30.55123955,-30.16165273,-29.65594566,-29.07989574,-28.48029574,-27.89518185,-27.35229148,-26.85989628,
Massachusetts,-3.339134402,-2.587608091,-1.795881854,-1.108726378,-0.651919196,-0.506488138,-0.690490869,-1.140454573,-1.715945714,-2.22004196,-2.469121758,-2.401785232,-2.054908275,-1.5091424,-0.864966658,-0.226144735,0.33323657,0.786445449,1.133272507,1.384041399,1.554093099,1.65262544,1.692663505,1.71615308,1.762180455,1.829996701,1.863534121,1.748242792,1.328849976,0.429311387,-1.116909684,-3.431487608,-6.57063272,-10.51849151,-15.18157054,-20.39247411,-25.928197,-31.52169841,-36.89675457,-41.82496782,-46.16470752,-49.86216433,-52.93340839,-55.43237533,-57.42045897,-58.95838729,-60.11066252,-60.95181664,-61.56323741,-62.02165078,-62.38670532,-62.69323098,-62.9570252,-63.18422135,-63.37824257,-63.54531742,-63.69825134,-63.85318259,-64.01758432,-64.1865466,-64.346842,-64.48181641,-64.57741843,-64.62649333,-64.62550694,-64.56810064,-64.45284551,-64.2879318,-64.08440272,-63.85467295,-63.61221423,-63.3683926,-63.12615152,-62.873599,-62.59480091,-62.27892718,-61.91989906,-61.51640361,-61.07029123,-60.57742369,-60.03683068,-59.46497012,-58.89653479,-58.38032436,-57.97261427,-57.71923734,-57.63040968,-57.67626221,-57.80314826,-57.9471971,-58.04801627,-58.05701173,-57.93890759,-57.66522267,-57.2152795,-56.59055256,-55.81747688,-54.94048495,-54.01642117,-53.10622334,-52.25919206,-51.50685126,-50.86789353,-50.34633457,-49.93221847,-49.60372456,-49.32783208,-49.05001956,-48.70277604,-48.24349588,-47.66399155,-46.98965722,-46.27294395,-45.57245314,-44.92093791,-44.31976316,-43.76229551,-43.24791288,-42.78490966,-42.38758388,-42.06327166,-41.78905743,-41.51365287,-41.18564774,-40.77374186,-40.27214292,-39.70096259,-39.09158963,-38.45966352,-37.80204371,-37.119478,-36.42902496,-35.76706776,-35.18633981,-34.73944068,-34.4475568,-34.30060998,-34.27900393,-34.35401902,-34.49198829,-34.66460819,-34.8555465,-35.03324118,-35.1340998,-35.10572135,-34.92518234,-34.58585303,-34.10812916,-33.55074014,-32.97809696,-32.41201354,-31.87034343,-31.38467772,-30.9744343,-30.63716917,-30.3695745,-30.16186491,
