,State,Peak1DayCases,Peak1DayCasesDate,Peak3DayAvgCases,Peak3DayAvgCasesDate,Peak7DayAvgCases,Peak7DayAvgCasesDate,Peak9DayAvgCases,Peak9DayAvgCasesDate,Peak1DayDeaths,Peak1DayDeathsDate,Peak3DayAvgDeaths,Peak3DayAvgDeathsDate,Peak7DayAvgDeaths,Peak7DayAvgDeathsDate,Peak9DayAvgDeaths,Peak9DayAvgDeathsDate
23,Minnesota,840.0,5/23/20,791.0,5/24/20,706.1428571428571,5/25/20,712.2222222222222,5/23/20,35.0,5/28/20,32.666666666666664,5/29/20,25.0,5/30/20,24.444444444444443,5/28/20
24,Mississippi,436.0,5/30/20,395.0,5/30/20,330.0,6/02/20,334.1111111111111,5/30/20,32.0,5/05/20,28.666666666666668,5/07/20,19.285714285714285,5/07/20,17.77777777777778,5/09/20
25,Missouri,465.0,4/10/20,299.6666666666667,4/11/20,290.42857142857144,4/10/20,267.22222222222223,4/12/20,60.0,4/27/20,28.333333333333332,5/30/20,20.428571428571427,4/27/20,18.333333333333332,5/13/20
26,Montana,33.0,4/02/20,23.333333333333332,4/02/20,21.571428571428573,4/02/20,21.11111111111111,4/02/20,4.0,3/30/20,1.6666666666666667,4/01/20,1.0,4/22/20,0.7777777777777778,4/22/20
27,Nebraska,727.0,5/01/20,497.0,5/01/20,436.14285714285717,5/07/20,440.77777777777777,5/08/20,17.0,6/04/20,8.0,5/22/20,5.0,5/20/20,4.888888888888889,5/22/20
28,Nevada,355.0,5/24/20,199.33333333333334,4/10/20,172.57142857142858,4/10/20,160.33333333333334,4/10/20,26.0,4/07/20,12.333333333333334,4/30/20,9.714285714285714,4/13/20,9.444444444444445,4/15/20
29,New Hampshire,217.0,4/15/20,124.0,5/03/20,99.57142857142857,5/07/20,98.77777777777777,5/08/20,22.0,5/07/20,13.0,5/09/20,8.285714285714286,5/13/20,7.111111111111111,5/13/20
30,New Jersey,4305.0,4/03/20,3971.6666666666665,4/05/20,3674.285714285714,4/07/20,3617.8888888888887,4/11/20,457.0,4/30/20,394.6666666666667,4/30/20,293.2857142857143,4/20/20,300.77777777777777,4/22/20
31,New Mexico,319.0,6/05/20,220.0,6/06/20,178.71428571428572,6/07/20,168.77777777777777,5/07/20,15.0,5/24/20,11.333333333333334,5/14/20,10.285714285714286,5/15/20,9.666666666666666,5/16/20
32,New York,11434.0,4/15/20,10824.333333333334,4/10/20,9908.714285714286,4/10/20,9835.555555555555,4/11/20,3215.0,4/16/20,2096.3333333333335,4/17/20,1323.4285714285713,4/17/20,1207.0,4/17/20
33,North Carolina,1598.0,5/22/20,1183.3333333333333,6/07/20,989.1428571428571,6/06/20,990.8888888888889,6/06/20,47.0,5/22/20,39.333333333333336,5/29/20,22.857142857142858,6/02/20,23.22222222222222,6/03/20
34,North Dakota,135.0,4/18/20,107.66666666666667,5/22/20,79.42857142857143,5/22/20,74.44444444444444,5/22/20,6.0,5/06/20,2.6666666666666665,5/08/20,1.8571428571428572,5/12/20,1.7777777777777777,5/09/20
35,Ohio,1380.0,4/19/20,1270.6666666666667,4/20/20,920.0,4/21/20,823.2222222222222,4/23/20,138.0,4/29/20,74.33333333333333,4/30/20,49.42857142857143,5/23/20,52.44444444444444,5/06/20
